gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
CDV3	ENSG00000091527	Q9UKY7	3	3	7	2	1	1	3	7.822200099709413	7.881475076794513	0.0698021506158583	0.7893962331053547	0.9990269081233384	15.74606862254338	16.207446406417002	0.460459355214772	0.00923390940122351	0.0443008727073094	3351.0
NAMPT	ENSG00000105835	P43490	19	3	7	0	0	0	7	9.83457065205665	9.968274778650361	0.1231593112543333	0.5717683325740097	0.9990269081233384	16.516784482543116	17.423252370894993	0.914775161862894	3.65023148417654e-31	6.89407052978143e-29	4439.0
VCAN	ENSG00000038427	P13611	5	2	6	2	1	1	2	9.073245580109967	8.516597358618508	-0.5841362775426358	0.0269484848357261	0.3649728321971464	13.81299697067668	13.537552242941643	-0.325939627592088	1.28016614221316e-05	0.000150395755407352	8483.0
POSTN	ENSG00000133110	Q15063	7	3	6	2	2	0	2	12.495042742885001	11.575064053421448	-0.9386128002640404	8.016951088908909e-05	0.0046499746315451	15.888552064943715	14.283069020485156	-1.62753172001859	2.46232817480348e-46	9.30103429229102e-44	3196.0
KTN1	ENSG00000126777	Q86UP2	2	2	6	3	0	1	2	6.947426182292689	7.230447862728767	0.2849077868204836	0.3569061369445336	0.991727944910061	15.67754074605058	15.6278034349344	-0.0617381224929906	0.999785971731791	1.0	4588.5
ATP13A3	ENSG00000133657	Q9H7F0	6	2	6	0	0	0	6	9.158355146589582	8.953453254508691	-0.2163964272176927	0.3738031450466014	0.9957829810529164	12.168752427763259	12.69780758153965	0.507563661888651	0.0203685184540645	0.0840553718577782	7202.5
LAMA4	ENSG00000112769	Q16363	4	2	6	1	0	0	5	8.083874444096658	7.757431174850055	-0.3495032871509295	0.1631807510374059	0.842074517495522	12.625237884402704	13.400701034263351	0.854381851995463	9.1963882944152e-16	5.37182846145943e-14	4733.0
LAMC1	ENSG00000135862	P11047	1	1	6	0	3	1	2	7.958635322798459	8.209474918087809	0.2232642195770813	0.3894944078418806	0.9990269081233384	15.535660150521991	15.896814899086333	0.352088653012465	1.10412869668517e-16	6.72687440367545e-15	7929.0
P4HA1	ENSG00000122884	P13674	4	3	6	0	0	0	6	9.514381870860465	9.798651560828148	0.2950044523878046	0.2499233712370763	0.9350410686997298	17.80954258267003	17.811181653168397	0.0080071597425105	0.999999999997893	1.0	2735.0
RGS4	ENSG00000117152	P49798	3	2	6	1	1	0	4	8.494312380264539	7.66818586892246	-0.8089358920579872	0.0150309125647466	0.2618396144178549	0.0	0.0	0.0	1.0	1.0	2984.0
RNF10	ENSG00000022840	Q8N5U6	2	1	6	1	2	2	1	6.386644874132189	6.249420699708418	-0.1480935607292638	0.6661714289457492	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	3242.5
CERCAM	ENSG00000167123	Q5T4B2	1	1	6	2	1	0	3	8.49725638691934	8.146002812321035	-0.3887530780162949	0.2548015826953884	0.939303243603156	14.538816764028844	14.126132866839527	-0.435106780816426	7.77633610555711e-09	1.81319836930397e-07	2308.0
COL3A1	ENSG00000168542	P02461	3	3	6	1	0	1	4	12.244788924020765	11.07623151848162	-1.2115472342956106	9.093212000824928e-06	0.0008877248215805	17.44992478691645	15.692016751027602	-1.79260176390863	8.71347676358235e-75	7.05293704892251e-72	3873.0
MXRA8	ENSG00000162576	Q9BRK3	3	1	6	1	3	0	2	9.089760431872408	7.826803203463149	-1.298231201347974	5.395635008649958e-05	0.0036119922357905	14.546114104500266	13.304074734011266	-1.40562372600934	2.26657666947391e-09	6.05774689115056e-08	2293.0
BLTP2	ENSG00000007202	Q14667	0	1	6	0	4	0	2	0.0	0.0				0.0	0.0	0.0	1.0	1.0	
EIF3B	ENSG00000106263	P55884	2	2	6	0	4	0	2	7.405629676935989	7.356324133298994	-0.0369771978289806	0.8961154040233333	0.9990269081233384	15.618805210470668	15.571400859696094	-0.0296514186010932	0.999848095135711	1.0	3031.0
RNF185	ENSG00000138942	Q96GF1	2	1	6	1	3	0	2	6.142484847768215	6.072143139484652	-0.1018358391352632	0.7670541896760462	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	3248.5
NR3C1	ENSG00000113580	P04150	3	1	5	0	1	1	3	6.964719416615249	7.117455109736533	0.143276888153973	0.661952991962597	0.9990269081233384	14.385906616217582	14.375116867250206	0.0300144913066972	0.999865062486216	1.0	6778.0
GRINA	ENSG00000178719	Q7Z429	2	2	5	0	3	0	2	8.13747596650745	8.1896114322277	0.0482805279306309	0.8455195574101202	0.9990269081233384	0.0	0.0	0.0	1.0	1.0	1913.0
FHL2	ENSG00000115641	Q14192	5	3	5	0	0	0	5	9.2567241975543	8.807081881803557	-0.4661070723036005	0.0535030642918327	0.5116639985133227	15.37997443658806	15.376481880444643	-0.0695777638029975	0.851589745583172	1.0	1578.0
CAP1	ENSG00000131236	Q01518	4	3	5	1	2	0	2	8.939390601969121	9.015433179058407	0.0724550937047767	0.7465958666538435	0.9990269081233384	17.756840070117462	17.687252867530972	-0.0578677695794981	0.999988433132467	1.0	2627.5
C1QTNF1	ENSG00000173918	Q9BXJ1	3	1	5	0	3	1	1	7.583990090395464	7.909081337285307	0.3131470530711224	0.4072404364199171	0.9990269081233384	15.38463800193868	16.016905894721823	0.653333670995073	2.28979748917496e-07	3.99199771497395e-06	2714.0
RAB10	ENSG00000084733	P61026	2	1	5	0	0	0	5	7.168196351834699	7.485747854148439	0.3235300485957808	0.2466589190907508	0.9309933524968969	15.696990846930502	16.03299957433389	0.308137283535152	0.00444475042862329	0.0241830987714175	2426.5
COL5A2	ENSG00000204262	P05997	0	2	5	1	3	0	1	0.0	0.0				15.806576652107003	14.138026628037073	-1.7186703989332	3.25018938521036e-61	1.84155730566019e-58	
HMGCS1	ENSG00000112972	Q01581	1	3	5	1	1	0	3	7.912309411736292	7.99514775368912	0.0751575654517329	0.8121036956448706	0.9990269081233384	14.04985216119897	14.58648713844789	0.603352196332479	6.50403853781537e-14	2.94815058842095e-12	3466.0
