contig	polya_length	coverage	run	condition
ENST00000171887.8	39	6	s4_r3	s4
ENST00000173527.6	11	6	s4_r3	s4
ENST00000173898.12	62	1	s4_r3	s4
ENST00000174618.5	60	2	s4_r3	s4
ENST00000174653.3	33	4	s4_r3	s4
ENST00000175091.5	57	513	s4_r3	s4
ENST00000175506.8	36	8	s4_r3	s4
ENST00000175756.10	47	5	s4_r3	s4
ENST00000176643.11	33	8	s4_r3	s4
ENST00000176763.10	71	6	s4_r3	s4
ENST00000177742.7	32	9	s4_r3	s4
ENST00000178638.8	95	89	s4_r3	s4
ENST00000178640.10	29	4	s4_r3	s4
ENST00000179259.6	82	29	s4_r3	s4
ENST00000180173.10	31	3	s4_r3	s4
ENST00000181796.7	151	9	s4_r3	s4
ENST00000181839.10	9	5	s4_r3	s4
ENST00000182527.4	42	36	s4_r3	s4
ENST00000184266.3	48	157	s4_r3	s4
ENST00000184956.11	92	9	s4_r3	s4
ENST00000185150.9	72	106	s4_r3	s4
ENST00000186436.10	45	20	s4_r3	s4
ENST00000187830.2	29	2	s4_r3	s4
ENST00000188312.7	31	22	s4_r3	s4
ENST00000188376.9	55	82	s4_r3	s4
ENST00000188790.9	161	204	s4_r3	s4
ENST00000189444.11	66	3	s4_r3	s4
ENST00000191018.9	134	7	s4_r3	s4
ENST00000191063.8	58	2	s4_r3	s4
ENST00000192788.6	33	3	s4_r3	s4
ENST00000193322.8	67	38	s4_r3	s4
ENST00000193403.10	41	4	s4_r3	s4
ENST00000194118.8	77	6	s4_r3	s4
ENST00000194155.7	48	10	s4_r3	s4
ENST00000194214.10	51	58	s4_r3	s4
ENST00000194530.8	49	22	s4_r3	s4
ENST00000194672.11	174	1	s4_r3	s4
ENST00000196061.5	154	610	s4_r3	s4
ENST00000196169.7	158	3	s4_r3	s4
ENST00000196371.10	130	11	s4_r3	s4
ENST00000196482.4	30	2	s4_r3	s4
ENST00000196489.4	15	5	s4_r3	s4
ENST00000196551.8	60	838	s4_r3	s4
ENST00000197268.13	183	2	s4_r3	s4
ENST00000198767.11	148	5	s4_r3	s4
ENST00000199320.9	160	23	s4_r3	s4
ENST00000199389.11	42	57	s4_r3	s4
ENST00000199448.9	70	117	s4_r3	s4
ENST00000199706.13	104	42	s4_r3	s4
ENST00000199814.9	73	29	s4_r3	s4
ENST00000200135.8	64	8	s4_r3	s4
ENST00000200453.6	82	32	s4_r3	s4
ENST00000200457.9	32	70	s4_r3	s4
ENST00000200639.9	137	62	s4_r3	s4
ENST00000200652.4	80	5	s4_r3	s4
ENST00000200691.5	66	110	s4_r3	s4
ENST00000201015.8	176	3	s4_r3	s4
ENST00000202017.6	147	11	s4_r3	s4
ENST00000202028.9	103	2	s4_r3	s4
ENST00000202773.14	56	2600	s4_r3	s4
ENST00000202816.5	135	4	s4_r3	s4
ENST00000202831.7	22	1	s4_r3	s4
ENST00000202834.11	78	141	s4_r3	s4
ENST00000203001.7	123	6	s4_r3	s4
ENST00000203407.6	45	132	s4_r3	s4
ENST00000203556.9	226	4	s4_r3	s4
ENST00000203630.10	106	198	s4_r3	s4
ENST00000203664.10	16	2	s4_r3	s4
ENST00000204517.11	112	2	s4_r3	s4
ENST00000204549.9	146	12	s4_r3	s4
ENST00000204566.7	73	45	s4_r3	s4
ENST00000204679.9	134	82	s4_r3	s4
ENST00000204726.8	93	4	s4_r3	s4
ENST00000204961.5	22	2	s4_r3	s4
ENST00000205061.9	102	10	s4_r3	s4
ENST00000205194.5	51	23	s4_r3	s4
ENST00000205214.11	130	3	s4_r3	s4
ENST00000205402.10	135	31	s4_r3	s4
ENST00000205636.4	113	70	s4_r3	s4
ENST00000206020.8	65	53	s4_r3	s4
ENST00000206262.2	56	3	s4_r3	s4
ENST00000206380.8	63	12	s4_r3	s4
ENST00000206423.8	128	325	s4_r3	s4
ENST00000206451.11	65	46	s4_r3	s4
ENST00000206474.11	61	4	s4_r3	s4
ENST00000206542.9	41	12	s4_r3	s4
ENST00000206544.8	34	1	s4_r3	s4
ENST00000206595.11	53	4	s4_r3	s4
ENST00000206765.11	119	1	s4_r3	s4
ENST00000207870.8	32	1	s4_r3	s4
ENST00000209728.9	42	2	s4_r3	s4
ENST00000209873.9	42	5	s4_r3	s4
ENST00000209875.9	88	16	s4_r3	s4
ENST00000209884.5	45	2	s4_r3	s4
ENST00000210060.12	36	34	s4_r3	s4
ENST00000210313.8	130	25	s4_r3	s4
ENST00000210444.6	54	103	s4_r3	s4
ENST00000211287.9	121	1	s4_r3	s4
ENST00000211314.5	88	38	s4_r3	s4
ENST00000211372.9	42	901	s4_r3	s4
ENST00000211379.9	22	1	s4_r3	s4
ENST00000211402.10	84	2	s4_r3	s4
ENST00000211936.10	120	1	s4_r3	s4
ENST00000211998.10	35	12	s4_r3	s4
ENST00000212015.11	69	2	s4_r3	s4
ENST00000212355.9	65	1	s4_r3	s4
ENST00000214869.7	118	61	s4_r3	s4
ENST00000214893.9	134	2	s4_r3	s4
ENST00000215057.7	82	1	s4_r3	s4
ENST00000215061.9	57	6	s4_r3	s4
ENST00000215071.9	53	128	s4_r3	s4
ENST00000215115.5	53	93	s4_r3	s4
ENST00000215375.7	42	13	s4_r3	s4
ENST00000215555.7	65	15	s4_r3	s4
ENST00000215565.3	52	158	s4_r3	s4
ENST00000215567.10	53	29	s4_r3	s4
ENST00000215570.8	68	105	s4_r3	s4
ENST00000215574.9	65	20	s4_r3	s4
ENST00000215587.11	94	3	s4_r3	s4
ENST00000215631.9	158	11	s4_r3	s4
ENST00000215659.13	65	9	s4_r3	s4
ENST00000215727.10	53	4	s4_r3	s4
ENST00000215730.12	36	27	s4_r3	s4
ENST00000215742.9	44	3	s4_r3	s4
ENST00000215754.8	60	315	s4_r3	s4
ENST00000215770.6	53	1	s4_r3	s4
ENST00000215790.12	24	16	s4_r3	s4
ENST00000215793.13	38	9	s4_r3	s4
ENST00000215794.8	164	1	s4_r3	s4
ENST00000215829.8	48	96	s4_r3	s4
ENST00000215832.11	68	73	s4_r3	s4
ENST00000215838.8	50	1	s4_r3	s4
ENST00000215862.8	126	2	s4_r3	s4
ENST00000215882.10	66	122	s4_r3	s4
ENST00000215904.7	110	30	s4_r3	s4
ENST00000215906.6	38	7	s4_r3	s4
ENST00000215909.10	54	5412	s4_r3	s4
ENST00000215912.10	41	2	s4_r3	s4
ENST00000215917.11	61	24	s4_r3	s4
ENST00000215919.3	41	1	s4_r3	s4
ENST00000215941.9	150	10	s4_r3	s4
ENST00000215956.10	150	7	s4_r3	s4
ENST00000215957.10	100	8	s4_r3	s4
ENST00000216014.9	49	257	s4_r3	s4
ENST00000216027.8	122	7	s4_r3	s4
ENST00000216029.7	102	21	s4_r3	s4
ENST00000216034.6	46	69	s4_r3	s4
ENST00000216037.10	43	131	s4_r3	s4
ENST00000216038.6	65	70	s4_r3	s4
ENST00000216039.9	42	11	s4_r3	s4
ENST00000216061.9	51	1	s4_r3	s4
ENST00000216068.9	38	18	s4_r3	s4
ENST00000216080.5	66	32	s4_r3	s4
ENST00000216083.6	104	3	s4_r3	s4
ENST00000216085.12	51	13	s4_r3	s4
ENST00000216101.7	117	1	s4_r3	s4
ENST00000216106.6	154	5	s4_r3	s4
ENST00000216117.9	56	263	s4_r3	s4
ENST00000216121.12	34	20	s4_r3	s4
ENST00000216122.9	22	7	s4_r3	s4
ENST00000216124.10	123	13	s4_r3	s4
ENST00000216127.5	74	1	s4_r3	s4
ENST00000216129.7	28	10	s4_r3	s4
ENST00000216133.10	64	2	s4_r3	s4
ENST00000216146.9	55	1823	s4_r3	s4
ENST00000216160.11	37	5	s4_r3	s4
ENST00000216181.11	55	62	s4_r3	s4
ENST00000216185.7	69	38	s4_r3	s4
ENST00000216190.13	44	180	s4_r3	s4
ENST00000216214.7	192	1	s4_r3	s4
ENST00000216218.8	58	234	s4_r3	s4
ENST00000216225.9	64	177	s4_r3	s4
ENST00000216237.10	104	4	s4_r3	s4
