contig	polya_length	coverage	run	condition
ENST00000170447.12	180	17	s3_r2	s3
ENST00000170564.7	64	3	s3_r2	s3
ENST00000170630.6	59	9	s3_r2	s3
ENST00000171111.10	104	10	s3_r2	s3
ENST00000171887.8	117	1	s3_r2	s3
ENST00000173527.6	158	8	s3_r2	s3
ENST00000174618.5	12	4	s3_r2	s3
ENST00000174653.3	224	1	s3_r2	s3
ENST00000175091.5	71	363	s3_r2	s3
ENST00000175506.8	69	11	s3_r2	s3
ENST00000175756.10	57	3	s3_r2	s3
ENST00000176643.11	59	1	s3_r2	s3
ENST00000176763.10	85	6	s3_r2	s3
ENST00000177742.7	42	7	s3_r2	s3
ENST00000178638.8	112	29	s3_r2	s3
ENST00000179259.6	84	18	s3_r2	s3
ENST00000180173.10	64	2	s3_r2	s3
ENST00000181796.7	113	4	s3_r2	s3
ENST00000181839.10	142	3	s3_r2	s3
ENST00000182527.4	36	18	s3_r2	s3
ENST00000184266.3	46	135	s3_r2	s3
ENST00000184956.11	40	4	s3_r2	s3
ENST00000185150.9	56	79	s3_r2	s3
ENST00000186436.10	41	7	s3_r2	s3
ENST00000187762.7	37	1	s3_r2	s3
ENST00000187830.2	58	2	s3_r2	s3
ENST00000187879.12	50	2	s3_r2	s3
ENST00000188312.7	125	6	s3_r2	s3
ENST00000188376.9	46	50	s3_r2	s3
ENST00000188790.9	155	276	s3_r2	s3
ENST00000189444.11	57	5	s3_r2	s3
ENST00000191018.9	160	7	s3_r2	s3
ENST00000192788.6	25	1	s3_r2	s3
ENST00000193322.8	125	21	s3_r2	s3
ENST00000193403.10	42	17	s3_r2	s3
ENST00000194118.8	107	5	s3_r2	s3
ENST00000194155.7	103	7	s3_r2	s3
ENST00000194214.10	62	28	s3_r2	s3
ENST00000194530.8	51	7	s3_r2	s3
ENST00000194672.11	122	1	s3_r2	s3
ENST00000194900.8	158	1	s3_r2	s3
ENST00000196061.5	141	424	s3_r2	s3
ENST00000196371.10	51	12	s3_r2	s3
ENST00000196482.4	54	4	s3_r2	s3
ENST00000196489.4	5	2	s3_r2	s3
ENST00000196551.8	66	428	s3_r2	s3
ENST00000197268.13	133	1	s3_r2	s3
ENST00000198767.11	89	6	s3_r2	s3
ENST00000198939.6	75	2	s3_r2	s3
ENST00000199320.9	47	12	s3_r2	s3
ENST00000199389.11	45	64	s3_r2	s3
ENST00000199448.9	117	98	s3_r2	s3
ENST00000199706.13	108	26	s3_r2	s3
ENST00000199814.9	145	24	s3_r2	s3
ENST00000200135.8	84	7	s3_r2	s3
ENST00000200453.6	44	81	s3_r2	s3
ENST00000200457.9	49	43	s3_r2	s3
ENST00000200639.9	137	30	s3_r2	s3
ENST00000200652.4	77	2	s3_r2	s3
ENST00000200691.5	68	8	s3_r2	s3
ENST00000202017.6	124	17	s3_r2	s3
ENST00000202028.9	50	2	s3_r2	s3
ENST00000202556.14	77	2	s3_r2	s3
ENST00000202773.14	59	1316	s3_r2	s3
ENST00000202816.5	139	3	s3_r2	s3
ENST00000202834.11	50	85	s3_r2	s3
ENST00000202967.4	16	1	s3_r2	s3
ENST00000203001.7	129	5	s3_r2	s3
ENST00000203166.10	35	4	s3_r2	s3
ENST00000203407.6	46	61	s3_r2	s3
ENST00000203556.9	33	2	s3_r2	s3
ENST00000203630.10	51	124	s3_r2	s3
ENST00000204005.13	62	1	s3_r2	s3
ENST00000204517.11	290	1	s3_r2	s3
ENST00000204549.9	29	3	s3_r2	s3
ENST00000204566.7	40	32	s3_r2	s3
ENST00000204637.6	18	1	s3_r2	s3
ENST00000204679.9	116	75	s3_r2	s3
ENST00000204726.8	206	5	s3_r2	s3
ENST00000204961.5	182	3	s3_r2	s3
ENST00000205061.9	103	4	s3_r2	s3
ENST00000205135.8	73	1	s3_r2	s3
ENST00000205194.5	100	8	s3_r2	s3
ENST00000205402.10	97	16	s3_r2	s3
ENST00000205636.4	83	54	s3_r2	s3
ENST00000206020.8	73	42	s3_r2	s3
ENST00000206262.2	63	2	s3_r2	s3
ENST00000206380.8	96	7	s3_r2	s3
ENST00000206423.8	130	331	s3_r2	s3
ENST00000206451.11	105	23	s3_r2	s3
ENST00000206474.11	42	4	s3_r2	s3
ENST00000206542.9	129	9	s3_r2	s3
ENST00000206544.8	75	3	s3_r2	s3
ENST00000206595.11	144	6	s3_r2	s3
ENST00000207636.9	66	1	s3_r2	s3
ENST00000209873.9	43	6	s3_r2	s3
ENST00000209875.9	42	14	s3_r2	s3
ENST00000209884.5	92	7	s3_r2	s3
ENST00000210060.12	40	32	s3_r2	s3
ENST00000210313.8	158	14	s3_r2	s3
ENST00000210444.6	145	73	s3_r2	s3
ENST00000211314.5	167	13	s3_r2	s3
ENST00000211372.9	45	513	s3_r2	s3
ENST00000211379.9	150	6	s3_r2	s3
ENST00000211402.10	22	5	s3_r2	s3
ENST00000211998.10	14	5	s3_r2	s3
ENST00000212355.9	92	1	s3_r2	s3
ENST00000214869.7	90	36	s3_r2	s3
ENST00000215057.7	92	2	s3_r2	s3
ENST00000215061.9	106	2	s3_r2	s3
ENST00000215071.9	50	70	s3_r2	s3
ENST00000215115.5	80	38	s3_r2	s3
ENST00000215375.7	50	11	s3_r2	s3
ENST00000215555.7	81	13	s3_r2	s3
ENST00000215565.3	51	93	s3_r2	s3
ENST00000215567.10	50	40	s3_r2	s3
ENST00000215570.8	75	90	s3_r2	s3
ENST00000215574.9	31	21	s3_r2	s3
ENST00000215631.9	64	23	s3_r2	s3
ENST00000215659.13	82	3	s3_r2	s3
ENST00000215730.12	84	10	s3_r2	s3
ENST00000215742.9	103	3	s3_r2	s3
ENST00000215754.8	57	209	s3_r2	s3
ENST00000215790.12	96	26	s3_r2	s3
ENST00000215793.13	108	5	s3_r2	s3
ENST00000215829.8	110	47	s3_r2	s3
ENST00000215832.11	120	21	s3_r2	s3
ENST00000215882.10	46	49	s3_r2	s3
ENST00000215904.7	131	19	s3_r2	s3
ENST00000215906.6	51	2	s3_r2	s3
ENST00000215909.10	56	2389	s3_r2	s3
ENST00000215912.10	130	10	s3_r2	s3
ENST00000215917.11	40	11	s3_r2	s3
ENST00000215919.3	174	3	s3_r2	s3
ENST00000215941.9	116	7	s3_r2	s3
ENST00000215956.10	77	3	s3_r2	s3
ENST00000215957.10	72	7	s3_r2	s3
ENST00000216014.9	65	175	s3_r2	s3
ENST00000216027.8	30	7	s3_r2	s3
ENST00000216029.7	109	12	s3_r2	s3
ENST00000216034.6	59	52	s3_r2	s3
ENST00000216037.10	41	174	s3_r2	s3
