contig	polya_length	coverage	run	condition
ENST00000167462.9	46	1	s1_r3	s1
ENST00000168216.11	64	46	s1_r3	s1
ENST00000169298.8	74	3	s1_r3	s1
ENST00000169551.11	71	22	s1_r3	s1
ENST00000170168.9	77	6	s1_r3	s1
ENST00000170447.12	32	22	s1_r3	s1
ENST00000170564.7	45	1	s1_r3	s1
ENST00000170630.6	40	2	s1_r3	s1
ENST00000171111.10	29	17	s1_r3	s1
ENST00000171887.8	104	22	s1_r3	s1
ENST00000173527.6	32	9	s1_r3	s1
ENST00000173898.12	32	2	s1_r3	s1
ENST00000174618.5	88	6	s1_r3	s1
ENST00000175091.5	71	439	s1_r3	s1
ENST00000175506.8	32	10	s1_r3	s1
ENST00000175756.10	20	3	s1_r3	s1
ENST00000176643.11	61	6	s1_r3	s1
ENST00000176763.10	94	12	s1_r3	s1
ENST00000177742.7	102	7	s1_r3	s1
ENST00000178638.8	91	82	s1_r3	s1
ENST00000178640.10	41	5	s1_r3	s1
ENST00000179259.6	38	17	s1_r3	s1
ENST00000180173.10	91	3	s1_r3	s1
ENST00000181796.7	85	8	s1_r3	s1
ENST00000181839.10	117	7	s1_r3	s1
ENST00000182527.4	73	22	s1_r3	s1
ENST00000184266.3	52	180	s1_r3	s1
ENST00000184956.11	115	5	s1_r3	s1
ENST00000185150.9	50	113	s1_r3	s1
ENST00000186436.10	43	12	s1_r3	s1
ENST00000187762.7	132	1	s1_r3	s1
ENST00000187830.2	20	4	s1_r3	s1
ENST00000188312.7	266	10	s1_r3	s1
ENST00000188376.9	45	50	s1_r3	s1
ENST00000188790.9	168	326	s1_r3	s1
ENST00000189444.11	90	5	s1_r3	s1
ENST00000191018.9	129	16	s1_r3	s1
ENST00000192788.6	45	2	s1_r3	s1
ENST00000193322.8	108	36	s1_r3	s1
ENST00000193403.10	45	27	s1_r3	s1
ENST00000194118.8	108	15	s1_r3	s1
ENST00000194155.7	103	12	s1_r3	s1
ENST00000194214.10	40	34	s1_r3	s1
ENST00000194530.8	40	14	s1_r3	s1
ENST00000194672.11	91	1	s1_r3	s1
ENST00000194900.8	48	1	s1_r3	s1
ENST00000196061.5	146	616	s1_r3	s1
ENST00000196169.7	31	1	s1_r3	s1
ENST00000196371.10	77	12	s1_r3	s1
ENST00000196482.4	59	6	s1_r3	s1
ENST00000196489.4	65	4	s1_r3	s1
ENST00000196551.8	60	535	s1_r3	s1
ENST00000197268.13	22	1	s1_r3	s1
ENST00000198536.7	40	1	s1_r3	s1
ENST00000198767.11	145	10	s1_r3	s1
ENST00000198939.6	48	1	s1_r3	s1
ENST00000199320.9	91	38	s1_r3	s1
ENST00000199389.11	67	80	s1_r3	s1
ENST00000199448.9	56	67	s1_r3	s1
ENST00000199706.13	60	45	s1_r3	s1
ENST00000199814.9	84	34	s1_r3	s1
ENST00000200135.8	163	5	s1_r3	s1
ENST00000200453.6	57	58	s1_r3	s1
ENST00000200457.9	36	51	s1_r3	s1
ENST00000200639.9	145	52	s1_r3	s1
ENST00000200652.4	67	7	s1_r3	s1
ENST00000200691.5	91	11	s1_r3	s1
ENST00000201015.8	204	1	s1_r3	s1
ENST00000202017.6	113	19	s1_r3	s1
ENST00000202028.9	67	1	s1_r3	s1
ENST00000202556.14	159	1	s1_r3	s1
ENST00000202773.14	57	1563	s1_r3	s1
ENST00000202816.5	47	7	s1_r3	s1
ENST00000202831.7	7	1	s1_r3	s1
ENST00000202834.11	65	113	s1_r3	s1
ENST00000202967.4	55	1	s1_r3	s1
ENST00000203001.7	74	5	s1_r3	s1
ENST00000203166.10	61	2	s1_r3	s1
ENST00000203407.6	43	103	s1_r3	s1
ENST00000203556.9	139	6	s1_r3	s1
ENST00000203630.10	85	191	s1_r3	s1
ENST00000204005.13	191	5	s1_r3	s1
ENST00000204517.11	146	3	s1_r3	s1
ENST00000204549.9	76	3	s1_r3	s1
ENST00000204566.7	60	35	s1_r3	s1
ENST00000204679.9	128	77	s1_r3	s1
ENST00000204726.8	43	6	s1_r3	s1
ENST00000204961.5	119	10	s1_r3	s1
ENST00000205061.9	201	8	s1_r3	s1
ENST00000205194.5	136	23	s1_r3	s1
ENST00000205402.10	47	46	s1_r3	s1
ENST00000205636.4	51	69	s1_r3	s1
ENST00000206020.8	34	41	s1_r3	s1
ENST00000206262.2	71	1	s1_r3	s1
ENST00000206380.8	52	13	s1_r3	s1
ENST00000206423.8	141	243	s1_r3	s1
ENST00000206451.11	96	17	s1_r3	s1
