contig	polya_length	coverage	run	condition
ENST00000167106.9	134	5	s2_r1	s2
ENST00000168216.11	95	46	s2_r1	s2
ENST00000169298.8	78	4	s2_r1	s2
ENST00000169551.11	32	14	s2_r1	s2
ENST00000170168.9	54	10	s2_r1	s2
ENST00000170447.12	63	23	s2_r1	s2
ENST00000170564.7	85	7	s2_r1	s2
ENST00000170630.6	102	12	s2_r1	s2
ENST00000171111.10	54	20	s2_r1	s2
ENST00000171887.8	80	10	s2_r1	s2
ENST00000173527.6	60	9	s2_r1	s2
ENST00000174618.5	102	13	s2_r1	s2
ENST00000174653.3	134	1	s2_r1	s2
ENST00000175091.5	87	466	s2_r1	s2
ENST00000175506.8	59	16	s2_r1	s2
ENST00000175756.10	46	6	s2_r1	s2
ENST00000176643.11	23	6	s2_r1	s2
ENST00000176763.10	128	6	s2_r1	s2
ENST00000177742.7	100	13	s2_r1	s2
ENST00000178638.8	111	59	s2_r1	s2
ENST00000178640.10	34	5	s2_r1	s2
ENST00000179259.6	147	10	s2_r1	s2
ENST00000180173.10	151	5	s2_r1	s2
ENST00000181796.7	74	7	s2_r1	s2
ENST00000181839.10	163	9	s2_r1	s2
ENST00000182527.4	50	22	s2_r1	s2
ENST00000184266.3	53	166	s2_r1	s2
ENST00000184956.11	138	11	s2_r1	s2
ENST00000185150.9	45	107	s2_r1	s2
ENST00000186436.10	67	21	s2_r1	s2
ENST00000187762.7	150	3	s2_r1	s2
ENST00000187830.2	20	2	s2_r1	s2
ENST00000188312.7	59	12	s2_r1	s2
ENST00000188376.9	82	38	s2_r1	s2
ENST00000188790.9	171	323	s2_r1	s2
ENST00000189444.11	90	3	s2_r1	s2
ENST00000191018.9	110	8	s2_r1	s2
ENST00000192788.6	62	5	s2_r1	s2
ENST00000193322.8	107	33	s2_r1	s2
ENST00000193391.8	160	1	s2_r1	s2
ENST00000193403.10	23	17	s2_r1	s2
ENST00000194118.8	35	11	s2_r1	s2
ENST00000194155.7	125	11	s2_r1	s2
ENST00000194214.10	46	29	s2_r1	s2
ENST00000194530.8	45	7	s2_r1	s2
ENST00000194900.8	87	1	s2_r1	s2
ENST00000196061.5	146	632	s2_r1	s2
ENST00000196169.7	15	1	s2_r1	s2
ENST00000196371.10	138	19	s2_r1	s2
ENST00000196482.4	18	5	s2_r1	s2
ENST00000196489.4	142	1	s2_r1	s2
ENST00000196551.8	65	544	s2_r1	s2
ENST00000197268.13	44	2	s2_r1	s2
ENST00000198536.7	30	1	s2_r1	s2
ENST00000198767.11	81	9	s2_r1	s2
ENST00000199320.9	67	28	s2_r1	s2
ENST00000199389.11	73	66	s2_r1	s2
ENST00000199448.9	58	68	s2_r1	s2
ENST00000199706.13	71	44	s2_r1	s2
ENST00000199814.9	82	23	s2_r1	s2
ENST00000200135.8	115	13	s2_r1	s2
ENST00000200453.6	131	69	s2_r1	s2
ENST00000200457.9	47	57	s2_r1	s2
ENST00000200639.9	148	59	s2_r1	s2
ENST00000200652.4	125	4	s2_r1	s2
ENST00000200691.5	61	13	s2_r1	s2
ENST00000201015.8	163	2	s2_r1	s2
ENST00000202017.6	127	12	s2_r1	s2
ENST00000202028.9	155	2	s2_r1	s2
ENST00000202556.14	60	1	s2_r1	s2
ENST00000202773.14	62	1704	s2_r1	s2
ENST00000202816.5	101	3	s2_r1	s2
ENST00000202831.7	82	2	s2_r1	s2
ENST00000202834.11	73	97	s2_r1	s2
ENST00000202967.4	57	1	s2_r1	s2
ENST00000203001.7	56	6	s2_r1	s2
ENST00000203407.6	41	97	s2_r1	s2
ENST00000203556.9	185	3	s2_r1	s2
ENST00000203630.10	76	166	s2_r1	s2
ENST00000203664.10	130	3	s2_r1	s2
ENST00000204005.13	56	3	s2_r1	s2
ENST00000204517.11	124	5	s2_r1	s2
ENST00000204549.9	204	11	s2_r1	s2
ENST00000204566.7	65	45	s2_r1	s2
ENST00000204604.5	204	1	s2_r1	s2
ENST00000204679.9	137	88	s2_r1	s2
ENST00000204726.8	167	14	s2_r1	s2
ENST00000204961.5	104	8	s2_r1	s2
ENST00000205061.9	138	22	s2_r1	s2
ENST00000205135.8	52	2	s2_r1	s2
ENST00000205143.4	48	1	s2_r1	s2
ENST00000205194.5	115	21	s2_r1	s2
ENST00000205402.10	88	27	s2_r1	s2
ENST00000205636.4	59	97	s2_r1	s2
ENST00000206020.8	41	64	s2_r1	s2
ENST00000206262.2	173	5	s2_r1	s2
ENST00000206380.8	68	12	s2_r1	s2
ENST00000206423.8	124	199	s2_r1	s2
ENST00000206451.11	73	36	s2_r1	s2
ENST00000206474.11	48	1	s2_r1	s2
ENST00000206542.9	164	16	s2_r1	s2
ENST00000206544.8	121	4	s2_r1	s2
ENST00000206595.11	71	9	s2_r1	s2
ENST00000207157.7	41	2	s2_r1	s2
ENST00000207636.9	84	5	s2_r1	s2
ENST00000209873.9	127	4	s2_r1	s2
ENST00000209875.9	49	24	s2_r1	s2
ENST00000209884.5	131	4	s2_r1	s2
ENST00000210060.12	66	50	s2_r1	s2
ENST00000210313.8	158	26	s2_r1	s2
ENST00000210444.6	45	108	s2_r1	s2
ENST00000211314.5	107	25	s2_r1	s2
ENST00000211372.9	42	667	s2_r1	s2
ENST00000211379.9	33	9	s2_r1	s2
ENST00000211402.10	43	17	s2_r1	s2
ENST00000211936.10	82	2	s2_r1	s2
ENST00000211998.10	195	10	s2_r1	s2
ENST00000212015.11	78	2	s2_r1	s2
ENST00000212355.9	199	1	s2_r1	s2
ENST00000214869.7	121	68	s2_r1	s2
ENST00000214893.9	109	3	s2_r1	s2
ENST00000215057.7	71	5	s2_r1	s2
ENST00000215061.9	39	7	s2_r1	s2
ENST00000215071.9	53	138	s2_r1	s2
ENST00000215115.5	37	62	s2_r1	s2
ENST00000215375.7	81	13	s2_r1	s2
ENST00000215555.7	127	17	s2_r1	s2
ENST00000215565.3	54	130	s2_r1	s2
ENST00000215567.10	60	50	s2_r1	s2
ENST00000215570.8	61	97	s2_r1	s2
ENST00000215574.9	30	23	s2_r1	s2
ENST00000215587.11	176	5	s2_r1	s2
ENST00000215631.9	9	2	s2_r1	s2
ENST00000215659.13	56	6	s2_r1	s2
ENST00000215727.10	161	1	s2_r1	s2
ENST00000215730.12	68	16	s2_r1	s2
ENST00000215742.9	70	1	s2_r1	s2
ENST00000215754.8	58	221	s2_r1	s2
ENST00000215790.12	80	27	s2_r1	s2
ENST00000215793.13	100	13	s2_r1	s2
ENST00000215794.8	95	3	s2_r1	s2
ENST00000215829.8	51	64	s2_r1	s2
ENST00000215832.11	61	62	s2_r1	s2
ENST00000215838.8	170	4	s2_r1	s2
ENST00000215882.10	65	88	s2_r1	s2
ENST00000215904.7	49	23	s2_r1	s2
ENST00000215906.6	15	2	s2_r1	s2
ENST00000215909.10	55	3303	s2_r1	s2
ENST00000215912.10	72	9	s2_r1	s2
ENST00000215917.11	132	20	s2_r1	s2
ENST00000215919.3	103	5	s2_r1	s2
ENST00000215941.9	30	10	s2_r1	s2
ENST00000215956.10	135	10	s2_r1	s2
ENST00000215957.10	88	12	s2_r1	s2
ENST00000216014.9	56	200	s2_r1	s2
ENST00000216027.8	175	5	s2_r1	s2
ENST00000216029.7	91	8	s2_r1	s2
ENST00000216034.6	73	52	s2_r1	s2
ENST00000216037.10	49	174	s2_r1	s2
ENST00000216038.6	72	71	s2_r1	s2
ENST00000216039.9	95	14	s2_r1	s2
ENST00000216044.10	40	18	s2_r1	s2
ENST00000216068.9	94	17	s2_r1	s2
ENST00000216080.5	41	20	s2_r1	s2
ENST00000216085.12	24	16	s2_r1	s2
ENST00000216101.7	104	1	s2_r1	s2
ENST00000216106.6	68	7	s2_r1	s2
ENST00000216115.3	22	2	s2_r1	s2
ENST00000216117.9	120	538	s2_r1	s2
ENST00000216121.12	28	34	s2_r1	s2
ENST00000216122.9	46	7	s2_r1	s2
ENST00000216124.10	138	23	s2_r1	s2
ENST00000216127.5	129	1	s2_r1	s2
ENST00000216129.7	49	23	s2_r1	s2
ENST00000216133.10	46	2	s2_r1	s2
ENST00000216144.4	179	1	s2_r1	s2
ENST00000216146.9	60	1111	s2_r1	s2
ENST00000216160.11	84	9	s2_r1	s2
ENST00000216181.11	56	212	s2_r1	s2
ENST00000216185.7	58	37	s2_r1	s2
ENST00000216190.13	45	145	s2_r1	s2
ENST00000216194.11	29	1	s2_r1	s2
ENST00000216214.7	139	1	s2_r1	s2
ENST00000216218.8	56	214	s2_r1	s2
ENST00000216225.9	53	149	s2_r1	s2
ENST00000216237.10	136	5	s2_r1	s2
ENST00000216241.14	120	1	s2_r1	s2
ENST00000216252.4	104	41	s2_r1	s2
ENST00000216254.9	52	34	s2_r1	s2
