contig	polya_length	coverage	run	condition
ENST00000170564.7	10	5	s2_r3	s2
ENST00000170630.6	78	4	s2_r3	s2
ENST00000171111.10	47	11	s2_r3	s2
ENST00000171887.8	110	10	s2_r3	s2
ENST00000173527.6	78	5	s2_r3	s2
ENST00000173898.12	239	1	s2_r3	s2
ENST00000174618.5	31	3	s2_r3	s2
ENST00000174653.3	84	3	s2_r3	s2
ENST00000175091.5	78	491	s2_r3	s2
ENST00000175506.8	47	13	s2_r3	s2
ENST00000175756.10	64	5	s2_r3	s2
ENST00000176643.11	86	6	s2_r3	s2
ENST00000176763.10	135	7	s2_r3	s2
ENST00000177648.13	58	1	s2_r3	s2
ENST00000177742.7	61	4	s2_r3	s2
ENST00000178638.8	97	69	s2_r3	s2
ENST00000178640.10	123	4	s2_r3	s2
ENST00000179259.6	133	21	s2_r3	s2
ENST00000180173.10	113	3	s2_r3	s2
ENST00000181796.7	129	7	s2_r3	s2
ENST00000181839.10	77	4	s2_r3	s2
ENST00000182527.4	60	21	s2_r3	s2
ENST00000184266.3	55	147	s2_r3	s2
ENST00000184956.11	57	7	s2_r3	s2
ENST00000185150.9	46	97	s2_r3	s2
ENST00000186436.10	34	12	s2_r3	s2
ENST00000187830.2	24	2	s2_r3	s2
ENST00000188312.7	113	15	s2_r3	s2
ENST00000188376.9	62	50	s2_r3	s2
ENST00000188790.9	166	292	s2_r3	s2
ENST00000190611.9	153	2	s2_r3	s2
ENST00000191018.9	75	10	s2_r3	s2
ENST00000191063.8	16	1	s2_r3	s2
ENST00000192788.6	109	4	s2_r3	s2
ENST00000193322.8	95	31	s2_r3	s2
ENST00000193403.10	167	5	s2_r3	s2
ENST00000194118.8	205	2	s2_r3	s2
ENST00000194155.7	72	6	s2_r3	s2
ENST00000194214.10	80	38	s2_r3	s2
ENST00000194530.8	42	13	s2_r3	s2
ENST00000194900.8	16	1	s2_r3	s2
ENST00000196061.5	151	529	s2_r3	s2
ENST00000196169.7	18	2	s2_r3	s2
ENST00000196371.10	26	23	s2_r3	s2
ENST00000196482.4	25	2	s2_r3	s2
ENST00000196489.4	34	4	s2_r3	s2
ENST00000196551.8	62	522	s2_r3	s2
ENST00000197268.13	126	1	s2_r3	s2
ENST00000198536.7	89	1	s2_r3	s2
ENST00000198767.11	92	6	s2_r3	s2
ENST00000198939.6	128	2	s2_r3	s2
ENST00000199320.9	172	36	s2_r3	s2
ENST00000199389.11	59	67	s2_r3	s2
ENST00000199448.9	78	71	s2_r3	s2
ENST00000199706.13	72	25	s2_r3	s2
ENST00000199814.9	52	20	s2_r3	s2
ENST00000200135.8	114	10	s2_r3	s2
ENST00000200453.6	106	31	s2_r3	s2
ENST00000200457.9	82	47	s2_r3	s2
ENST00000200639.9	173	33	s2_r3	s2
ENST00000200652.4	78	8	s2_r3	s2
ENST00000200691.5	69	19	s2_r3	s2
ENST00000201015.8	214	2	s2_r3	s2
ENST00000202017.6	162	14	s2_r3	s2
ENST00000202028.9	91	2	s2_r3	s2
ENST00000202556.14	44	2	s2_r3	s2
ENST00000202677.12	112	1	s2_r3	s2
ENST00000202773.14	57	1649	s2_r3	s2
ENST00000202816.5	86	7	s2_r3	s2
ENST00000202831.7	94	1	s2_r3	s2
ENST00000202834.11	58	104	s2_r3	s2
ENST00000202967.4	146	2	s2_r3	s2
ENST00000203001.7	124	8	s2_r3	s2
ENST00000203407.6	46	110	s2_r3	s2
ENST00000203630.10	52	155	s2_r3	s2
ENST00000204517.11	21	2	s2_r3	s2
ENST00000204549.9	72	8	s2_r3	s2
ENST00000204566.7	59	42	s2_r3	s2
ENST00000204637.6	60	1	s2_r3	s2
ENST00000204679.9	118	81	s2_r3	s2
ENST00000204726.8	124	4	s2_r3	s2
ENST00000204961.5	115	2	s2_r3	s2
ENST00000205061.9	163	9	s2_r3	s2
ENST00000205194.5	99	28	s2_r3	s2
ENST00000205214.11	63	2	s2_r3	s2
ENST00000205402.10	119	37	s2_r3	s2
ENST00000205636.4	60	75	s2_r3	s2
ENST00000206020.8	81	62	s2_r3	s2
ENST00000206262.2	76	3	s2_r3	s2
ENST00000206380.8	74	7	s2_r3	s2
ENST00000206423.8	146	174	s2_r3	s2
ENST00000206451.11	88	23	s2_r3	s2
ENST00000206474.11	71	3	s2_r3	s2
ENST00000206542.9	49	14	s2_r3	s2
ENST00000206595.11	61	4	s2_r3	s2
ENST00000207636.9	18	1	s2_r3	s2
ENST00000209873.9	49	1	s2_r3	s2
ENST00000209875.9	22	20	s2_r3	s2
ENST00000209884.5	106	3	s2_r3	s2
ENST00000210060.12	43	25	s2_r3	s2
ENST00000210313.8	184	26	s2_r3	s2
ENST00000210444.6	50	90	s2_r3	s2
ENST00000211314.5	52	22	s2_r3	s2
ENST00000211372.9	42	545	s2_r3	s2
ENST00000211377.7	165	1	s2_r3	s2
ENST00000211379.9	125	1	s2_r3	s2
ENST00000211402.10	29	6	s2_r3	s2
ENST00000211936.10	53	1	s2_r3	s2
ENST00000211998.10	34	17	s2_r3	s2
ENST00000212355.9	78	1	s2_r3	s2
ENST00000214869.7	118	56	s2_r3	s2
ENST00000214893.9	149	2	s2_r3	s2
ENST00000215061.9	101	6	s2_r3	s2
ENST00000215071.9	53	119	s2_r3	s2
ENST00000215115.5	41	54	s2_r3	s2
ENST00000215375.7	50	8	s2_r3	s2
ENST00000215555.7	78	12	s2_r3	s2
ENST00000215565.3	56	93	s2_r3	s2
ENST00000215567.10	64	38	s2_r3	s2
ENST00000215570.8	67	81	s2_r3	s2
ENST00000215574.9	88	9	s2_r3	s2
ENST00000215587.11	37	2	s2_r3	s2
ENST00000215631.9	155	9	s2_r3	s2
ENST00000215659.13	94	5	s2_r3	s2
ENST00000215727.10	139	3	s2_r3	s2
ENST00000215730.12	61	17	s2_r3	s2
ENST00000215742.9	148	4	s2_r3	s2
ENST00000215754.8	57	231	s2_r3	s2
ENST00000215790.12	35	24	s2_r3	s2
ENST00000215793.13	36	5	s2_r3	s2
ENST00000215794.8	102	1	s2_r3	s2
ENST00000215829.8	55	75	s2_r3	s2
ENST00000215832.11	85	26	s2_r3	s2
ENST00000215838.8	188	2	s2_r3	s2
ENST00000215882.10	52	60	s2_r3	s2
ENST00000215886.6	56	1	s2_r3	s2
ENST00000215904.7	89	17	s2_r3	s2
ENST00000215906.6	40	4	s2_r3	s2
ENST00000215909.10	56	3573	s2_r3	s2
ENST00000215912.10	148	15	s2_r3	s2
ENST00000215917.11	100	23	s2_r3	s2
ENST00000215919.3	66	1	s2_r3	s2
ENST00000215941.9	100	11	s2_r3	s2
ENST00000215956.10	78	8	s2_r3	s2
ENST00000215957.10	71	9	s2_r3	s2
ENST00000216014.9	54	226	s2_r3	s2
ENST00000216019.11	92	1	s2_r3	s2
ENST00000216027.8	151	5	s2_r3	s2
ENST00000216029.7	100	11	s2_r3	s2
ENST00000216034.6	63	51	s2_r3	s2
ENST00000216037.10	44	149	s2_r3	s2
ENST00000216038.6	115	66	s2_r3	s2
ENST00000216039.9	32	8	s2_r3	s2
ENST00000216044.10	170	5	s2_r3	s2
ENST00000216068.9	68	14	s2_r3	s2
ENST00000216080.5	102	21	s2_r3	s2
ENST00000216083.6	44	1	s2_r3	s2
ENST00000216085.12	73	10	s2_r3	s2
ENST00000216106.6	28	11	s2_r3	s2
ENST00000216117.9	97	318	s2_r3	s2
ENST00000216121.12	48	30	s2_r3	s2
ENST00000216122.9	199	3	s2_r3	s2
ENST00000216124.10	130	9	s2_r3	s2
ENST00000216127.5	34	1	s2_r3	s2
ENST00000216129.7	62	5	s2_r3	s2
ENST00000216133.10	184	2	s2_r3	s2
ENST00000216144.4	25	1	s2_r3	s2
ENST00000216146.9	59	1218	s2_r3	s2
ENST00000216160.11	38	8	s2_r3	s2
ENST00000216181.11	57	50	s2_r3	s2
ENST00000216185.7	49	30	s2_r3	s2
ENST00000216190.13	57	120	s2_r3	s2
ENST00000216214.7	77	3	s2_r3	s2
ENST00000216218.8	61	179	s2_r3	s2
ENST00000216225.9	54	115	s2_r3	s2
ENST00000216237.10	75	5	s2_r3	s2
ENST00000216241.14	69	1	s2_r3	s2
ENST00000216252.4	64	27	s2_r3	s2
ENST00000216254.9	59	31	s2_r3	s2
ENST00000216259.8	71	43	s2_r3	s2
ENST00000216264.13	79	39	s2_r3	s2
ENST00000216267.12	275	1	s2_r3	s2
ENST00000216268.6	62	7	s2_r3	s2
ENST00000216271.10	47	4	s2_r3	s2
ENST00000216277.13	53	53	s2_r3	s2
ENST00000216281.13	145	425	s2_r3	s2
ENST00000216286.10	122	2	s2_r3	s2
ENST00000216294.5	57	17	s2_r3	s2
ENST00000216297.7	40	27	s2_r3	s2
ENST00000216330.7	56	29	s2_r3	s2
ENST00000216350.12	247	2	s2_r3	s2
ENST00000216373.10	37	5	s2_r3	s2
ENST00000216392.8	74	33	s2_r3	s2
