contig	polya_length	coverage	run	condition
ENST00000167825.5	127	1	s3_r3	s3
ENST00000168216.11	79	30	s3_r3	s3
ENST00000169551.11	49	12	s3_r3	s3
ENST00000170168.9	28	2	s3_r3	s3
ENST00000170447.12	52	27	s3_r3	s3
ENST00000170564.7	109	2	s3_r3	s3
ENST00000170630.6	186	5	s3_r3	s3
ENST00000171111.10	83	16	s3_r3	s3
ENST00000171887.8	96	3	s3_r3	s3
ENST00000173527.6	152	7	s3_r3	s3
ENST00000173898.12	99	3	s3_r3	s3
ENST00000174618.5	37	2	s3_r3	s3
ENST00000175091.5	79	505	s3_r3	s3
ENST00000175506.8	145	12	s3_r3	s3
ENST00000175756.10	90	3	s3_r3	s3
ENST00000176643.11	188	7	s3_r3	s3
ENST00000176763.10	111	6	s3_r3	s3
ENST00000177742.7	118	17	s3_r3	s3
ENST00000178638.8	120	36	s3_r3	s3
ENST00000178640.10	36	6	s3_r3	s3
ENST00000179259.6	72	21	s3_r3	s3
ENST00000180173.10	152	2	s3_r3	s3
ENST00000181796.7	152	10	s3_r3	s3
ENST00000181839.10	61	9	s3_r3	s3
ENST00000182527.4	33	21	s3_r3	s3
ENST00000184266.3	59	176	s3_r3	s3
ENST00000184956.11	75	7	s3_r3	s3
ENST00000185150.9	99	93	s3_r3	s3
ENST00000186436.10	111	10	s3_r3	s3
ENST00000187762.7	36	2	s3_r3	s3
ENST00000187830.2	55	4	s3_r3	s3
ENST00000188312.7	70	14	s3_r3	s3
ENST00000188376.9	56	37	s3_r3	s3
ENST00000188790.9	151	367	s3_r3	s3
ENST00000189444.11	56	1	s3_r3	s3
ENST00000190983.5	127	2	s3_r3	s3
ENST00000191018.9	137	6	s3_r3	s3
ENST00000191063.8	33	1	s3_r3	s3
ENST00000192788.6	75	3	s3_r3	s3
ENST00000193322.8	94	29	s3_r3	s3
ENST00000193403.10	22	8	s3_r3	s3
ENST00000194118.8	44	9	s3_r3	s3
ENST00000194155.7	120	11	s3_r3	s3
ENST00000194214.10	40	30	s3_r3	s3
ENST00000194530.8	54	18	s3_r3	s3
ENST00000194672.11	238	1	s3_r3	s3
ENST00000194900.8	25	1	s3_r3	s3
ENST00000196061.5	142	539	s3_r3	s3
ENST00000196169.7	16	1	s3_r3	s3
ENST00000196371.10	33	14	s3_r3	s3
ENST00000196482.4	125	2	s3_r3	s3
ENST00000196489.4	30	4	s3_r3	s3
ENST00000196551.8	64	630	s3_r3	s3
ENST00000198536.7	144	2	s3_r3	s3
ENST00000198767.11	124	7	s3_r3	s3
ENST00000198939.6	57	1	s3_r3	s3
ENST00000199320.9	81	27	s3_r3	s3
ENST00000199389.11	73	56	s3_r3	s3
ENST00000199448.9	96	113	s3_r3	s3
ENST00000199706.13	72	31	s3_r3	s3
ENST00000199814.9	31	34	s3_r3	s3
ENST00000199936.9	126	1	s3_r3	s3
ENST00000200135.8	168	8	s3_r3	s3
ENST00000200453.6	125	26	s3_r3	s3
ENST00000200457.9	104	59	s3_r3	s3
ENST00000200639.9	99	39	s3_r3	s3
ENST00000200652.4	171	5	s3_r3	s3
ENST00000200691.5	81	12	s3_r3	s3
ENST00000202017.6	146	21	s3_r3	s3
ENST00000202028.9	120	1	s3_r3	s3
ENST00000202556.14	189	1	s3_r3	s3
ENST00000202773.14	60	1942	s3_r3	s3
ENST00000202816.5	91	3	s3_r3	s3
ENST00000202834.11	69	102	s3_r3	s3
ENST00000202967.4	39	1	s3_r3	s3
ENST00000203001.7	154	7	s3_r3	s3
ENST00000203166.10	130	1	s3_r3	s3
ENST00000203407.6	55	92	s3_r3	s3
ENST00000203556.9	244	4	s3_r3	s3
ENST00000203630.10	138	163	s3_r3	s3
ENST00000203664.10	21	2	s3_r3	s3
ENST00000204005.13	65	1	s3_r3	s3
ENST00000204549.9	73	5	s3_r3	s3
ENST00000204566.7	57	41	s3_r3	s3
ENST00000204679.9	121	100	s3_r3	s3
ENST00000204726.8	80	3	s3_r3	s3
ENST00000204961.5	91	1	s3_r3	s3
ENST00000205061.9	21	6	s3_r3	s3
ENST00000205135.8	293	1	s3_r3	s3
ENST00000205194.5	47	22	s3_r3	s3
ENST00000205214.11	24	1	s3_r3	s3
ENST00000205402.10	38	35	s3_r3	s3
