contig	polya_length	coverage	run	condition
ENST00000175091.5	93	189	s2_r2	s2
ENST00000175506.8	88	2	s2_r2	s2
ENST00000175756.10	204	3	s2_r2	s2
ENST00000176643.11	36	3	s2_r2	s2
ENST00000176763.10	175	4	s2_r2	s2
ENST00000177648.13	44	1	s2_r2	s2
ENST00000177742.7	41	2	s2_r2	s2
ENST00000178638.8	86	31	s2_r2	s2
ENST00000178640.10	30	3	s2_r2	s2
ENST00000179259.6	71	9	s2_r2	s2
ENST00000180173.10	80	2	s2_r2	s2
ENST00000181796.7	20	2	s2_r2	s2
ENST00000181839.10	167	1	s2_r2	s2
ENST00000182527.4	41	20	s2_r2	s2
ENST00000184266.3	68	60	s2_r2	s2
ENST00000184956.11	162	1	s2_r2	s2
ENST00000185150.9	48	43	s2_r2	s2
ENST00000186436.10	133	11	s2_r2	s2
ENST00000187762.7	79	1	s2_r2	s2
ENST00000187830.2	191	1	s2_r2	s2
ENST00000188312.7	133	3	s2_r2	s2
ENST00000188376.9	101	21	s2_r2	s2
ENST00000188790.9	159	120	s2_r2	s2
ENST00000189444.11	53	3	s2_r2	s2
ENST00000191018.9	63	1	s2_r2	s2
ENST00000192788.6	254	1	s2_r2	s2
ENST00000193322.8	109	13	s2_r2	s2
ENST00000193403.10	64	12	s2_r2	s2
ENST00000194118.8	33	2	s2_r2	s2
ENST00000194155.7	119	3	s2_r2	s2
ENST00000194214.10	38	19	s2_r2	s2
ENST00000194530.8	45	5	s2_r2	s2
ENST00000196061.5	150	225	s2_r2	s2
ENST00000196371.10	52	11	s2_r2	s2
ENST00000196482.4	175	2	s2_r2	s2
ENST00000196489.4	18	2	s2_r2	s2
ENST00000196551.8	56	200	s2_r2	s2
ENST00000198767.11	128	4	s2_r2	s2
ENST00000198939.6	107	1	s2_r2	s2
ENST00000199320.9	63	14	s2_r2	s2
ENST00000199389.11	36	28	s2_r2	s2
ENST00000199448.9	50	30	s2_r2	s2
ENST00000199706.13	73	23	s2_r2	s2
ENST00000199814.9	54	15	s2_r2	s2
ENST00000200135.8	41	7	s2_r2	s2
ENST00000200453.6	133	25	s2_r2	s2
ENST00000200457.9	113	22	s2_r2	s2
ENST00000200639.9	146	19	s2_r2	s2
ENST00000200652.4	49	3	s2_r2	s2
ENST00000200691.5	75	8	s2_r2	s2
ENST00000202017.6	115	4	s2_r2	s2
ENST00000202556.14	111	1	s2_r2	s2
ENST00000202677.12	47	1	s2_r2	s2
ENST00000202773.14	55	628	s2_r2	s2
ENST00000202816.5	45	3	s2_r2	s2
ENST00000202834.11	57	50	s2_r2	s2
ENST00000202917.10	25	1	s2_r2	s2
ENST00000202967.4	126	1	s2_r2	s2
ENST00000203001.7	140	8	s2_r2	s2
ENST00000203407.6	53	36	s2_r2	s2
ENST00000203556.9	13	2	s2_r2	s2
ENST00000203630.10	144	63	s2_r2	s2
ENST00000204005.13	58	3	s2_r2	s2
ENST00000204517.11	127	3	s2_r2	s2
ENST00000204549.9	5	1	s2_r2	s2
ENST00000204566.7	82	15	s2_r2	s2
ENST00000204679.9	154	30	s2_r2	s2
ENST00000204726.8	169	5	s2_r2	s2
ENST00000204961.5	115	7	s2_r2	s2
ENST00000205061.9	129	7	s2_r2	s2
ENST00000205135.8	284	1	s2_r2	s2
ENST00000205194.5	101	10	s2_r2	s2
ENST00000205214.11	10	1	s2_r2	s2
ENST00000205402.10	76	10	s2_r2	s2
ENST00000205636.4	108	35	s2_r2	s2
ENST00000206020.8	45	23	s2_r2	s2
ENST00000206262.2	81	1	s2_r2	s2
ENST00000206380.8	98	4	s2_r2	s2
ENST00000206423.8	137	125	s2_r2	s2
ENST00000206451.11	96	17	s2_r2	s2
ENST00000206474.11	70	1	s2_r2	s2
ENST00000206542.9	40	3	s2_r2	s2
