contig	polya_length	coverage	run	condition
ENST00000164133.7	47	29	s3_r1	s3
ENST00000164227.10	60	13	s3_r1	s3
ENST00000164305.10	55	11	s3_r1	s3
ENST00000166139.9	126	147	s3_r1	s3
ENST00000166345.8	34	3	s3_r1	s3
ENST00000166534.8	85	21	s3_r1	s3
ENST00000167106.9	130	4	s3_r1	s3
ENST00000168216.11	47	47	s3_r1	s3
ENST00000169551.11	24	7	s3_r1	s3
ENST00000170168.9	59	13	s3_r1	s3
ENST00000170447.12	35	23	s3_r1	s3
ENST00000170564.7	45	4	s3_r1	s3
ENST00000170630.6	112	14	s3_r1	s3
ENST00000171111.10	33	18	s3_r1	s3
ENST00000171887.8	34	23	s3_r1	s3
ENST00000173527.6	74	6	s3_r1	s3
ENST00000173898.12	126	5	s3_r1	s3
ENST00000174618.5	20	7	s3_r1	s3
ENST00000174653.3	81	1	s3_r1	s3
ENST00000175091.5	71	380	s3_r1	s3
ENST00000175506.8	82	9	s3_r1	s3
ENST00000175756.10	67	5	s3_r1	s3
ENST00000176643.11	36	9	s3_r1	s3
ENST00000176763.10	20	10	s3_r1	s3
ENST00000177648.13	28	1	s3_r1	s3
ENST00000177742.7	86	8	s3_r1	s3
ENST00000178638.8	91	48	s3_r1	s3
ENST00000178640.10	49	3	s3_r1	s3
ENST00000179259.6	73	29	s3_r1	s3
ENST00000180173.10	94	3	s3_r1	s3
ENST00000181796.7	165	16	s3_r1	s3
ENST00000181839.10	54	10	s3_r1	s3
ENST00000182527.4	40	35	s3_r1	s3
ENST00000184266.3	52	102	s3_r1	s3
ENST00000184956.11	134	8	s3_r1	s3
ENST00000185150.9	56	90	s3_r1	s3
ENST00000186436.10	121	14	s3_r1	s3
ENST00000187762.7	91	2	s3_r1	s3
ENST00000187830.2	114	1	s3_r1	s3
ENST00000188312.7	73	14	s3_r1	s3
ENST00000188376.9	63	40	s3_r1	s3
ENST00000188790.9	167	436	s3_r1	s3
ENST00000189444.11	44	4	s3_r1	s3
ENST00000191018.9	185	10	s3_r1	s3
ENST00000191063.8	61	1	s3_r1	s3
ENST00000192788.6	23	6	s3_r1	s3
ENST00000193322.8	84	30	s3_r1	s3
ENST00000193403.10	34	23	s3_r1	s3
ENST00000194118.8	52	6	s3_r1	s3
ENST00000194155.7	141	22	s3_r1	s3
ENST00000194214.10	122	21	s3_r1	s3
ENST00000194530.8	51	16	s3_r1	s3
ENST00000194672.11	151	1	s3_r1	s3
ENST00000194900.8	145	1	s3_r1	s3
ENST00000196061.5	143	601	s3_r1	s3
ENST00000196169.7	244	2	s3_r1	s3
ENST00000196371.10	110	14	s3_r1	s3
ENST00000196482.4	32	6	s3_r1	s3
ENST00000196489.4	19	1	s3_r1	s3
ENST00000196551.8	62	475	s3_r1	s3
ENST00000198536.7	96	1	s3_r1	s3
ENST00000198767.11	311	7	s3_r1	s3
ENST00000198939.6	83	4	s3_r1	s3
ENST00000199280.4	185	1	s3_r1	s3
