transcript	log_count	FC	mrna_ont_C3	mrna_ont_C4	HGNC symbol
ENST00000307407	13.572385728928772	-0.14600137284285175	13.645386415350197	13.499385042507345	CXCL8
ENST00000229239	13.451941858331228	0.4722540222685456	13.215814847196954	13.6880688694655	GAPDH
ENST00000218388	13.170119298237267	0.2098627860871236	13.065187905193707	13.27505069128083	TIMP1
ENST00000379060	13.059774258569625	0.048490058235907796	13.03552922945167	13.084019287687578	TPT1
ENST00000331825	12.876081529581104	0.3769224814406211	12.687620288860794	13.064542770301415	FTL
ENST00000215909	12.495545865275409	0.3907040816868559	12.30019382443198	12.690897906118837	LGALS1
ENST00000233143	12.511246848173737	0.40505543234447927	12.308719132001498	12.713774564345977	TMSB10
ENST00000223095	12.151965570603295	-0.21317473055980507	12.258552935883197	12.045378205323392	SERPINE1
ENST00000520687	12.58351760511843	-0.934051562218631	13.050543386227746	12.116491824009115	SPARC
ENST00000501597	12.305664260478718	0.07950041924835638	12.26591405085454	12.345414470102897	RPL41
ENST00000620463	11.720585155765315	-0.2781126140581769	11.859641462794404	11.581528848736227	COL1A2
ENST00000567815	12.216305069348135	0.11139928073514938	12.16060542898056	12.27200470971571	RPL13
ENST00000354785	11.850288383041386	-0.42748565416295037	12.064031210122861	11.636545555959911	FN1
ENST00000230050	12.117575268019387	0.0544379145633318	12.090356310737722	12.144794225301053	RPS12
ENST00000508487	10.780064476844835	1.157591464392146	10.201268744648763	11.358860209040909	CXCL2
ENST00000396861	11.442217243318996	0.5247167553039951	11.179858865666999	11.704575620970994	GAPDH
ENST00000409733	11.964818460903782	-0.057998108275485905	11.993817515041526	11.93581940676604	RPL31
ENST00000544301	11.425822136570156	0.6082008533871246	11.121721709876594	11.729922563263719	VIM
ENST00000331523	11.631034972015833	0.07416638037026146	11.593951781830702	11.668118162200964	EEF1A1
ENST00000224237	11.424530426554224	0.6056174333552597	11.121721709876594	11.727339143231854	VIM
ENST00000455918	11.608473160189703	0.09815249509655821	11.559396912641425	11.657549407737983	EEF1A1
ENST00000677236	11.604275076630874	0.0897563279788951	11.559396912641425	11.64915324062032	EEF1A1
ENST00000678702	11.604275076630874	0.0897563279788951	11.559396912641425	11.64915324062032	EEF1A1
ENST00000356303	11.608427865428471	0.08329359423286142	11.56678106831204	11.6500746625449	EEF1A1
ENST00000676710	11.608427865428471	0.08329359423286142	11.56678106831204	11.6500746625449	EEF1A1
ENST00000678508	11.608427865428471	0.08329359423286142	11.56678106831204	11.6500746625449	EEF1A1
ENST00000335181	11.252599844619395	0.4795492738181224	11.012825207710334	11.492374481528456	PKM
ENST00000678703	11.588227952015675	0.059505683771147844	11.5584751101301	11.617980793901248	EEF1A1
ENST00000530022	11.88069589985961	-0.11618782244402404	11.938789811081623	11.822601988637599	RPL27A
ENST00000309311	11.069622439645125	-0.05822513436562815	11.098735006827939	11.04050987246231	EEF2
ENST00000245857	11.83421916923775	-0.012822100180887475	11.840630219328194	11.827808119147306	RPL23
ENST00000343262	11.818402851901602	0.10181780147198616	11.767493951165608	11.869311752637595	RPS2
ENST00000222247	11.658238553305068	0.08443104646103983	11.61602303007455	11.700454076535589	RPL18A
ENST00000226317	11.062800235847764	1.1935342228391228	10.466033124428202	11.659567347267325	CXCL6
ENST00000443003	11.476543236949665	0.2504603800585734	11.351313046920378	11.601773426978951	RPSA
ENST00000270625	11.61683915227376	-0.03976146858269658	11.636719886565109	11.596958417982412	RPS11
ENST00000297268	11.598395528823545	-1.2173059286257928	12.20704849313644	10.989742564510648	COL1A2
ENST00000356005	11.608298538251095	-0.6930352178306638	11.954816147166428	11.261780929335764	FN1
ENST00000648437	11.575102712497552	0.06800800945732277	11.54109870776889	11.609106717226213	RPS10
ENST00000009589	11.744423144619201	-0.1403550432213816	11.814600666229893	11.674245623008511	RPS20
ENST00000651669	11.6152773060472	-0.013777934726704189	11.622166273410553	11.608388338683849	RPS27
ENST00000300026	11.173846260301314	-0.13479829891164918	11.241245409757138	11.106447110845489	PPIB
ENST00000648839	11.564308200474475	0.024302601935612955	11.552156899506668	11.576459501442281	RPL26
ENST00000442011	11.43522184294082	-0.8613062757778973	11.86587498082977	11.004568705051872	TGFBI
ENST00000467825	11.341249756880725	0.06165159379434115	11.310423959983554	11.372075553777895	RPL13A
ENST00000530721	11.321063516076517	0.0984405392378509	11.27184324645759	11.370283785695442	RPS3
ENST00000532829	10.496132510067362	0.9649571688838474	10.013653925625439	10.978611094509287	FTH1
ENST00000504293	11.47319834057292	-0.04869999334730224	11.49754833724657	11.448848343899268	RPS23
ENST00000370321	11.324757898750015	-0.01940229689446582	11.334459047197248	11.315056750302782	RPL5
ENST00000361575	11.333729578825807	-0.03190097286213778	11.349680065256877	11.317779092394739	RPL39
ENST00000380384	11.295308265762579	0.102315153838763	11.244150688843197	11.34646584268196	RPS6
ENST00000362079	11.369727454906592	-0.5390553849474546	11.63925514738032	11.100199762432865	MT-CO3
ENST00000504562	11.271992851667203	-0.06939615191010695	11.306690927622256	11.237294775712149	RPL37
ENST00000570308	10.962740969137764	-0.820902139475642	11.373192038875585	10.552289899399943	MMP2
